time,"Abs. Drosselklappenstellung (%)","Absolutdruck Einlasskanal (kPa)","Berechneter Boost (bar)","Berechneter Kraftstoffmengenfluss (L/h)","Berechneter momentaner Kraftstoffverbrauch (L/100km)","Durchschnittsgeschwindigkeit (km/h)","Durchschnittsgeschwindigkeit (GPS) (km/h)","Durchschnittsverbrauch (L/100km)","Durchschnittsverbrauch (gesamt) (L/100km)","Fahrzeugbeschleunigung (m_sec2)","Geschwindigkeit (km/h)","Geschwindigkeit (GPS) (km/h)","Kraftstoffkosten (€)","Kraftstoffkosten (gesamt) (€)","Kühlmitteltemperatur (℃)","Lufteintrittstemperatur (℃)","Momentane Motorleistung (basierend auf dem Kraftstoffverbrauch) (kW)","Motordrehzahl (rpm)","Verbrauchsoptimierung (basierend auf Status des Kraftstoffsystems und Gasstellung) ()","verbrauchte Kraftstoffmenge (L)","verbrauchte Kraftstoffmenge (gesamt) (L)","zurückgelegte Strecke (km)","zurückgelegte Strecke (gesamt) (km)",
12:24:02.800,,,,,,,0,,,,,0,,,,,,,,,,,,
12:24:02.813,,,,,,,0,,,,,0,,,,,,,,,,,,
12:24:04.523,,,,,,,,,,0,0,,,,,,,,,,,,,
12:24:04.710,,95,-0.06325,,,,,,,,,,,,,,,,,,,,,
12:24:05.092,6.66666666666667,,,,,,,,,,,,,,,,,,,,,,,
12:24:05.311,,,,0.812686844670736,,,,,,,,,,,,,1.71991871994017,197,,,,,,
12:24:05.524,,,,,,,,,,0,0,,,,,,,,,,,0,38.5821314082778,
12:24:05.720,,39,-0.62325,,,,,,,,,,,,,,,,,,,,,
12:24:06.237,6.27450980392157,,,,,,,,,,,,,,,,,,-1,,,,,
12:24:06.448,,,,2.09032448517424,,,,,6.3862293479932,,,,0.000877755648382793,3.28,,,4.42382971543865,1152,,0.000659966652919393,2.46394339907674,,,
12:24:06.636,,,,,,0,,,,0,0,,,,,,,,,,,0,38.5821314082778,
12:24:06.917,,33,-0.68325,,,,,,,,,,,,,,,,,,,,,
12:24:07.135,,,,,,,0.246380307039496,,,,,0.352715045213699,,,,,,,,,,,,
12:24:07.138,,,,,,,0.246445790653233,,,,,0.352715045213699,,,,,,,,,,,,
12:24:07.156,,,,,,,0.246720701893621,,,,,0.343168178200722,,,,,,,,,,,,
12:24:07.295,7.05882352941176,,,,,,,,,,,,,,,,,,-1,,,,,
12:24:07.493,,,,1.24671329470996,,,,,6.38716774268924,,,,0.001359285705806,3.28,,,2.63846467803806,870,,0.00102201932767368,2.46430545175149,,,
12:24:07.711,,,,,,0,,,,0,0,,,,,,,,,,,0,38.5821314082778,
12:24:07.907,,35,-0.66325,,,,,,,,,,,,,,,,,,,,,
12:24:08.100,,,,,,,0.24664842816795,,,,,0.24617306292057,,,,,,,,,,,,
12:24:08.129,,,,,,,0.246661167555885,,,,,0.249758747220039,,,,,,,,,,,,
12:24:08.310,6.66666666666667,,,,,,,,,,,,,,,,,,-1,,,,,
12:24:08.530,,,,1.22348126361731,,,,,6.38808167167338,,,,0.00182826137038516,3.28,,,2.58929788588375,805,,0.00137463260931215,2.46465806503313,,,
12:24:08.739,,,,,,0,,,,0,0,,,,,,,,,,,0,38.5821314082778,
12:24:08.930,,35,-0.66325,,,,,,,,,,,,,,,,,,,,,
12:24:09.205,,,,,,,0.238860237879183,,,,,0.186767806112766,,,,,,,,,,,,
12:24:09.227,,,,,,,0.238718271111114,,,,,0.187511676549911,,,,,,,,,,,,
12:24:09.446,6.66666666666667,,,,,,,,,,,,,,,,,,-1,,,,,
12:24:09.631,,,,1.22044155861453,,,,,6.38904891254686,,,,0.00232459362302338,3.28,,,2.58286484765795,803,,0.00174781475415292,2.46503124717797,,,
12:24:09.842,,,,,,0,,,,0,0,,,,,,,,,,,0,38.5821314082778,
12:24:10.095,,35,-0.66325,,,,,,,,,,,,,,,,,,,,,
12:24:10.465,,,,,,,0.333033545930706,,,,,0.964005661010742,,,,,,,,,,,,
12:24:10.466,,,,,,,0.33308373211355,,,,,0.964005661010742,,,,,,,,,,,,
12:24:10.469,,,,,,,0.333247551587651,,,,,0.865017074346542,,,,,,,,,,,,
12:24:10.478,6.66666666666667,,,,,,,,,,,,,,,,,,-1,,,,,
12:24:10.915,,,,,,,,,,,,,,,41,,,,,,,,,
12:24:11.109,,,,,,0,,,,0,0,,,,,,,,,,,0,38.5821314082778,
12:24:11.225,,,,,,,0.431055021821024,,,,,1.6629401922226,,,,,,,,,,,,
12:24:11.228,,,,,,,0.431449288810189,,,,,1.6629401922226,,,,,,,,,,,,
