"SECONDS";"PID";"VALUE";"UNITS"
"44642.799968";"Durchschnittsgeschwindigkeit (GPS)";"0";"km/h"
"44642.799968";"Geschwindigkeit (GPS)";"0";"km/h"
"44642.812968";"Durchschnittsgeschwindigkeit (GPS)";"0";"km/h"
"44642.812968";"Geschwindigkeit (GPS)";"0";"km/h"
"44644.522968";"Fahrzeugbeschleunigung";"0";"m_sec2"
"44644.522968";"Geschwindigkeit";"0";"km/h"
"44644.709968";"Absolutdruck Einlasskanal";"95";"kPa"
"44644.709968";"Berechneter Boost";"-0.06325";"bar"
"44645.091968";"Abs. Drosselklappenstellung";"6.66666666666667";"%"
"44645.310968";"Berechneter Kraftstoffmengenfluss";"0.812686844670736";"L/h"
"44645.310968";"Momentane Motorleistung (basierend auf dem Kraftstoffverbrauch)";"1.71991871994017";"kW"
"44645.310968";"Motordrehzahl";"197";"rpm"
"44645.523968";"Fahrzeugbeschleunigung";"0";"m_sec2"
"44645.523968";"Geschwindigkeit";"0";"km/h"
"44645.523968";"zurückgelegte Strecke";"0";"km"
"44645.523968";"zurückgelegte Strecke (gesamt)";"38.5821314082778";"km"
"44645.719968";"Absolutdruck Einlasskanal";"39";"kPa"
"44645.719968";"Berechneter Boost";"-0.62325";"bar"
"44646.236968";"Abs. Drosselklappenstellung";"6.27450980392157";"%"
"44646.236968";"Verbrauchsoptimierung (basierend auf Status des Kraftstoffsystems und Gasstellung)";"-1";""
"44646.447968";"Berechneter Kraftstoffmengenfluss";"2.09032448517424";"L/h"
"44646.447968";"Durchschnittsverbrauch (gesamt)";"6.3862293479932";"L/100km"
"44646.447968";"Kraftstoffkosten";"0.000877755648382793";"€"
"44646.447968";"Kraftstoffkosten (gesamt)";"3.28";"€"
"44646.447968";"Momentane Motorleistung (basierend auf dem Kraftstoffverbrauch)";"4.42382971543865";"kW"
"44646.447968";"Motordrehzahl";"1152";"rpm"
"44646.447968";"verbrauchte Kraftstoffmenge";"0.000659966652919393";"L"
"44646.447968";"verbrauchte Kraftstoffmenge (gesamt)";"2.46394339907674";"L"
