datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C;D;D1;D2;D4;D5;D6;D9;D12
13.09.2020;Wahl des/der Oberbürgermeisters/in;05124000;;0 Elberfeld;44;44;38638;7537;0;46175;20493;6794;246;20247;7575;7773;1709;1092;489;951;658
13.09.2020;Wahl des/der Oberbürgermeisters/in;05124000;;1 Elberfeld West;20;20;17119;4101;0;21220;10662;3777;108;10554;3576;4779;490;737;316;343;313
13.09.2020;Wahl des/der Oberbürgermeisters/in;05124000;;2 Uellendahl-Katernberg;35;35;22770;7744;0;30514;17991;7145;179;17812;5588;8872;567;1309;558;384;534
13.09.2020;Wahl des/der Oberbürgermeisters/in;05124000;;3 Vohwinkel;24;24;19086;4284;0;23370;11218;3901;128;11090;4202;4568;449;647;420;333;471
13.09.2020;Wahl des/der Oberbürgermeisters/in;05124000;;4 Cronenberg;19;19;13735;3935;0;17670;9947;3664;112;9835;3113;4586;313;903;306;258;356
13.09.2020;Wahl des/der Oberbürgermeisters/in;05124000;;5 Barmen;43;43;36621;7306;0;43927;18906;6616;246;18660;7449;6858;1006;1360;620;697;670
13.09.2020;Wahl des/der Oberbürgermeisters/in;05124000;;6 Oberbarmen;30;30;26791;3907;0;30698;10998;3494;185;10813;4582;3720;499;708;490;356;458
13.09.2020;Wahl des/der Oberbürgermeisters/in;05124000;;7 Heckinghausen;16;16;13282;2514;0;15796;6511;2313;67;6444;2587;2462;287;449;226;188;245
13.09.2020;Wahl des/der Oberbürgermeisters/in;05124000;;8 Langerfeld-Beyenburg;21;21;15969;2955;0;18924;8369;2724;129;8240;3165;3283;297;650;312;273;260
13.09.2020;Wahl des/der Oberbürgermeisters/in;05124000;;9 Ronsdorf;20;20;13807;3647;0;17454;9546;3331;141;9405;3687;3317;324;1202;308;237;330
