datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B2;C;D;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11
13.09.2020;Ratswahl;05124000;01;Elberfeld-Mitte;8;8;6285;1212;0;7497;3049;1119;36;3013;945;475;685;312;148;55;201;42;150;;
13.09.2020;Ratswahl;05124000;02;Hombüchel;7;7;6312;1176;0;7488;3666;1033;25;3641;872;358;1082;697;137;53;100;17;289;;36
13.09.2020;Ratswahl;05124000;03;Höchsten;6;6;6194;830;0;7024;2896;728;44;2852;750;255;877;478;117;46;97;20;212;;
13.09.2020;Ratswahl;05124000;04;Ostersbaum;7;7;6451;933;0;7384;2847;850;32;2815;865;459;561;309;171;48;180;31;108;83;
13.09.2020;Ratswahl;05124000;05;Grifflenberg;9;9;6749;2196;0;8945;4798;1975;49;4749;1167;1403;1105;265;253;161;213;49;133;;
13.09.2020;Ratswahl;05124000;06;Friedrichsberg;7;7;6647;1190;0;7837;3213;1083;36;3177;1018;569;652;212;171;95;246;40;174;;
13.09.2020;Ratswahl;05124000;11;Brill-Arrenberg;7;7;5467;1554;0;7021;3881;1404;31;3850;1062;795;977;325;252;71;146;13;157;52;
13.09.2020;Ratswahl;05124000;12;Nützenberg-Zoo;6;6;5723;1264;0;6987;3308;1162;28;3280;963;668;754;226;215;136;176;30;112;;
13.09.2020;Ratswahl;05124000;13;Sonnborn-Varresbeck;7;7;5929;1283;0;7212;3465;1198;36;3429;998;981;586;148;219;129;217;59;92;;
13.09.2020;Ratswahl;05124000;21;Uellendahl-Ost;9;9;5946;2040;0;7986;4764;1854;41;4723;1018;1746;947;190;313;157;287;65;;;
13.09.2020;Ratswahl;05124000;22;Uellendahl-Mitte;9;9;6322;1582;0;7904;3938;1422;39;3899;1120;960;737;237;312;97;244;71;121;;
13.09.2020;Ratswahl;05124000;23;Uellendahl-West;8;8;5262;2064;0;7326;4560;1926;30;4530;1031;1417;1005;215;395;107;185;85;90;;
13.09.2020;Ratswahl;05124000;24;Katernberg;9;9;5240;2058;0;7298;4715;1930;54;4661;1128;1412;936;189;461;139;219;69;108;;
13.09.2020;Ratswahl;05124000;31;Vohwinkel-Ost;8;8;6599;1471;0;8070;3503;1320;34;3469;978;911;633;224;218;95;221;66;123;;
13.09.2020;Ratswahl;05124000;32;Vohwinkel-West;7;7;6301;1414;0;7715;3583;1289;38;3545;1146;1062;553;149;156;110;249;37;83;;
13.09.2020;Ratswahl;05124000;33;Vohwinkel-Nord;9;9;6186;1399;0;7585;4125;1287;42;4083;1389;977;747;174;178;137;250;54;84;93;
13.09.2020;Ratswahl;05124000;41;Cronenberg-Süd;10;10;7009;2000;0;9009;5070;1865;45;5025;1361;1471;916;214;448;124;310;42;139;;
13.09.2020;Ratswahl;05124000;42;Cronenberg-Nord;9;9;6726;1935;0;8661;4866;1790;48;4818;1250;1298;1025;266;380;135;224;51;105;84;
13.09.2020;Ratswahl;05124000;51;Barmen-Mitte;8;8;7555;1159;0;8714;2959;1039;36;2923;944;649;511;261;183;112;199;64;;;
13.09.2020;Ratswahl;05124000;52;Sedansberg-Rott;8;8;7796;1169;0;8965;3369;1032;52;3317;1151;577;622;325;169;128;264;81;;;
13.09.2020;Ratswahl;05124000;53;Loh-Unterbarmen;8;8;7331;1159;0;8490;3499;1042;38;3461;997;543;832;355;172;71;245;91;155;;
13.09.2020;Ratswahl;05124000;54;Clausen-Hatzfeld;10;10;7400;1752;0;9152;4161;1581;50;4111;1176;1023;797;244;264;132;271;78;126;;
13.09.2020;Ratswahl;05124000;55;Kothen-Lichtenplatz;9;9;6539;2067;0;8606;4910;1918;51;4859;1512;1069;1011;242;511;129;225;42;118;;
13.09.2020;Ratswahl;05124000;61;Oberbarmen;6;6;6264;651;0;6915;1909;587;32;1877;603;364;258;160;100;57;193;36;53;53;
13.09.2020;Ratswahl;05124000;62;Wichlinghausen-Süd;7;7;6293;627;0;6920;2076;550;37;2039;726;357;303;174;131;86;217;45;;;
13.09.2020;Ratswahl;05124000;63;Wichlinghausen-Nord;8;8;7232;937;0;8169;2869;819;30;2839;863;775;445;176;176;115;221;68;;;
13.09.2020;Ratswahl;05124000;64;Nächstebreck;9;9;7002;1692;0;8694;4154;1539;41;4113;1108;1429;569;187;270;191;287;72;;;
13.09.2020;Ratswahl;05124000;71;Heckinghausen-West;9;9;6620;1536;0;8156;3755;1414;49;3706;1074;924;693;210;321;118;239;42;85;;
13.09.2020;Ratswahl;05124000;72;Heckinghausen-Ost;7;7;6662;978;0;7640;2757;898;30;2727;946;559;464;154;159;79;242;41;83;;
13.09.2020;Ratswahl;05124000;81;Langerfeld-Nord;9;9;7967;997;0;8964;3105;883;43;3062;1073;731;369;147;173;75;300;79;115;;
13.09.2020;Ratswahl;05124000;82;Langerfeld-Süd-Beyenburg;12;12;8002;1958;0;9960;5255;1832;68;5187;1393;1522;927;240;448;111;330;89;127;;
13.09.2020;Ratswahl;05124000;91;Ronsdorf-Ost;10;10;6714;1684;0;8398;4268;1536;56;4212;1353;846;615;205;649;135;236;49;124;;
13.09.2020;Ratswahl;05124000;92;Ronsdorf-West;10;10;7093;1963;0;9056;5276;1791;63;5213;1673;1205;927;242;601;147;295;43;80;;
